PORTES : Etage 0, No. 1, Temps: 63
PORTES : Etage 0, No. 1, Temps: 63
DEPART : Etage 2, No. 1, Temps: 63
ARRIVEE: Etage 2, No. 0, Temps: 63
ARRIVEE: Etage 0, No. 1, Temps: 63
DEPART : Etage 0, No. 0, Temps: 64
PORTES : Etage 3, No. 2, Temps: 64
PORTES : Etage 2, No. 1, Temps: 64
ARRIVEE: Etage 0, No. 1, Temps: 64
ARRIVEE: Etage 0, No. 1, Temps: 64
ARRIVEE: Etage 2, No. 0, Temps: 64
ARRIVEE: Etage 0, No. 1, Temps: 64
ARRIVEE: Etage 0, No. 1, Temps: 64
ARRIVEE: Etage 0, No. 1, Temps: 64
ARRIVEE: Etage 0, No. 1, Temps: 64
ARRIVEE: Etage 0, No. 1, Temps: 64
DEPART : Etage 2, No. 1, Temps: 65
DEPART : Etage 0, No. 0, Temps: 65
DEPART : Etage 2, No. 1, Temps: 65
DEPART : Etage 2, No. 1, Temps: 65
ARRIVEE: Etage 0, No. 1, Temps: 65
ARRIVEE: Etage 0, No. 1, Temps: 65
DEPART : Etage 2, No. 1, Temps: 66
PORTES : Etage 0, No. 1, Temps: 66
PORTES : Etage 0, No. 1, Temps: 66
PORTES : Etage 0, No. 1, Temps: 66
PORTES : Etage 0, No. 1, Temps: 66
PORTES : Etage 1, No. 1, Temps: 66
PORTES : Etage 1, No. 1, Temps: 66
PORTES : Etage 1, No. 1, Temps: 66
PORTES : Etage 1, No. 1, Temps: 66
ARRIVEE: Etage 1, No. 0, Temps: 66
DEPART : Etage 3, No. 2, Temps: 67
DEPART : Etage 3, No. 2, Temps: 67
PORTES : Etage 1, No. 1, Temps: 67
PORTES : Etage 2, No. 0, Temps: 67
ARRIVEE: Etage 0, No. 1, Temps: 67
ARRIVEE: Etage 1, No. 0, Temps: 67
ARRIVEE: Etage 0, No. 1, Temps: 67
ARRIVEE: Etage 0, No. 1, Temps: 67
DEPART : Etage 1, No. 1, Temps: 68
DEPART : Etage 1, No. 1, Temps: 68
DEPART : Etage 1, No. 1, Temps: 68
DEPART : Etage 3, No. 2, Temps: 68
DEPART : Etage 1, No. 1, Temps: 68
DEPART : Etage 1, No. 1, Temps: 68
DEPART : Etage 1, No. 1, Temps: 68
DEPART : Etage 1, No. 1, Temps: 68
PORTES : Etage 2, No. 0, Temps: 68
PORTES : Etage 0, No. 1, Temps: 68
ARRIVEE: Etage 0, No. 1, Temps: 68
ARRIVEE: Etage 2, No. 0, Temps: 68
DEPART : Etage 3, No. 2, Temps: 69
DEPART : Etage 0, No. 1, Temps: 69
PORTES : Etage 0, No. 1, Temps: 69
PORTES : Etage 0, No. 1, Temps: 69
PORTES : Etage 2, No. 0, Temps: 69
PORTES : Etage 0, No. 1, Temps: 69
PORTES : Etage 0, No. 1, Temps: 69
PORTES : Etage 0, No. 1, Temps: 69
PORTES : Etage 0, No. 1, Temps: 69
PORTES : Etage 0, No. 1, Temps: 69
ARRIVEE: Etage 2, No. 2, Temps: 69
ARRIVEE: Etage 2, No. 2, Temps: 69
ARRIVEE: Etage 2, No. 0, Temps: 69
PORTES : Etage 0, No. 1, Temps: 70
PORTES : Etage 0, No. 1, Temps: 70
ARRIVEE: Etage 0, No. 1, Temps: 70
ARRIVEE: Etage 0, No. 1, Temps: 70
ARRIVEE: Etage 0, No. 1, Temps: 70
ARRIVEE: Etage 2, No. 2, Temps: 70
ARRIVEE: Etage 0, No. 1, Temps: 70
ARRIVEE: Etage 0, No. 1, Temps: 70
ARRIVEE: Etage 0, No. 1, Temps: 70
ARRIVEE: Etage 0, No. 1, Temps: 70
DEPART : Etage 0, No. 1, Temps: 71
DEPART : Etage 0, No. 1, Temps: 71
DEPART : Etage 0, No. 1, Temps: 71
DEPART : Etage 0, No. 1, Temps: 71
DEPART : Etage 0, No. 1, Temps: 71
DEPART : Etage 0, No. 1, Temps: 71
DEPART : Etage 0, No. 1, Temps: 71
DEPART : Etage 0, No. 1, Temps: 71
ARRIVEE: Etage 2, No. 2, Temps: 71
ARRIVEE: Etage 0, No. 1, Temps: 71
ARRIVEE: Etage 1, No. 2, Temps: 71
ARRIVEE: Etage 1, No. 2, Temps: 71
DEPART : Etage 0, No. 1, Temps: 72
DEPART : Etage 1, No. 0, Temps: 72
PORTES : Etage 0, No. 1, Temps: 72
PORTES : Etage 0, No. 1, Temps: 72
PORTES : Etage 0, No. 1, Temps: 72
ARRIVEE: Etage 1, No. 2, Temps: 72
DEPART : Etage 1, No. 0, Temps: 73
DEPART : Etage 0, No. 1, Temps: 73
PORTES : Etage 0, No. 1, Temps: 73
PORTES : Etage 2, No. 0, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 0, No. 1, Temps: 73
ARRIVEE: Etage 1, No. 2, Temps: 73
DEPART : Etage 0, No. 1, Temps: 74
DEPART : Etage 0, No. 1, Temps: 74
DEPART : Etage 2, No. 0, Temps: 74
DEPART : Etage 0, No. 1, Temps: 74
DEPART : Etage 0, No. 1, Temps: 74
DEPART : Etage 0, No. 1, Temps: 74
DEPART : Etage 0, No. 1, Temps: 74
DEPART : Etage 0, No. 1, Temps: 74
PORTES : Etage 2, No. 0, Temps: 74
ARRIVEE: Etage 0, No. 1, Temps: 74
ARRIVEE: Etage 1, No. 0, Temps: 74
DEPART : Etage 0, No. 1, Temps: 75
DEPART : Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 75
ARRIVEE: Etage 1, No. 0, Temps: 75
ARRIVEE: Etage 0, No. 1, Temps: 75
PORTES : Etage 0, No. 1, Temps: 76
PORTES : Etage 1, No. 2, Temps: 76
PORTES : Etage 1, No. 2, Temps: 76
ARRIVEE: Etage 0, No. 1, Temps: 76
ARRIVEE: Etage 0, No. 1, Temps: 76
ARRIVEE: Etage 1, No. 0, Temps: 76
ARRIVEE: Etage 0, No. 1, Temps: 76
ARRIVEE: Etage 0, No. 1, Temps: 76
ARRIVEE: Etage 0, No. 1, Temps: 76
ARRIVEE: Etage 0, No. 1, Temps: 76
ARRIVEE: Etage 0, No. 1, Temps: 76
BOUTON : Etage 0, No. 7, Temps: 77
BOUTON : Etage 0, No. 8, Temps: 77
DEPART : Etage 0, No. 1, Temps: 77
DEPART : Etage 0, No. 1, Temps: 77
DEPART : Etage 0, No. 1, Temps: 77
PORTES : Etage 1, No. 2, Temps: 77
ARRIVEE: Etage 0, No. 1, Temps: 77
